class,label,prediction
carcass,26.0,4.0
carcass,26.0,2.0
carcass,26.0,4.0
carcass,26.0,2.0
carcass,26.0,2.0
rape-oil,68.0,18.0
rape-oil,68.0,5.0
nat-gas,21.0,5.0
nat-gas,21.0,21.0
nat-gas,21.0,21.0
nat-gas,21.0,3.0
nat-gas,21.0,5.0
nat-gas,21.0,5.0
nat-gas,21.0,5.0
nat-gas,21.0,5.0
rubber,37.0,2.0
rubber,37.0,2.0
rubber,37.0,2.0
rubber,37.0,3.0
groundnut,66.0,2.0
strategic-metal,50.0,0.0
ship,9.0,2.0
ship,9.0,2.0
ship,9.0,2.0
ship,9.0,9.0
ship,9.0,2.0
ship,9.0,1.0
ship,9.0,5.0
ship,9.0,2.0
ship,9.0,2.0
ship,9.0,2.0
ship,9.0,2.0
ship,9.0,2.0
ship,9.0,2.0
ship,9.0,9.0
ship,9.0,9.0
ship,9.0,2.0
ship,9.0,2.0
ship,9.0,3.0
ship,9.0,0.0
ship,9.0,2.0
wpi,46.0,2.0
wpi,46.0,2.0
l-cattle,67.0,5.0
soy-oil,52.0,5.0
soy-meal,51.0,18.0
soy-meal,51.0,2.0
propane,75.0,1.0
dmk,61.0,3.0
gas,35.0,5.0
gas,35.0,5.0
gas,35.0,2.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,0.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,2.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,5.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,0.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,0.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,2.0
acq,1.0,5.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,1.0
