class,label,prediction
carcass,26.0,1.0
carcass,26.0,2.0
carcass,26.0,1.0
carcass,26.0,1.0
carcass,26.0,1.0
rape-oil,68.0,5.0
nat-gas,21.0,5.0
nat-gas,21.0,5.0
nat-gas,21.0,21.0
nat-gas,21.0,1.0
rubber,37.0,1.0
rubber,37.0,1.0
groundnut,66.0,1.0
sun-oil,69.0,5.0
sun-oil,69.0,18.0
instal-debt,71.0,1.0
instal-debt,71.0,16.0
ship,9.0,5.0
ship,9.0,9.0
ship,9.0,1.0
ship,9.0,14.0
ship,9.0,1.0
ship,9.0,2.0
ship,9.0,1.0
ship,9.0,2.0
ship,9.0,1.0
ship,9.0,1.0
ship,9.0,1.0
ship,9.0,9.0
ship,9.0,9.0
ship,9.0,5.0
ship,9.0,5.0
ship,9.0,1.0
wpi,46.0,1.0
wpi,46.0,5.0
soy-oil,52.0,2.0
soy-oil,52.0,5.0
soy-meal,51.0,1.0
dmk,61.0,1.0
dmk,61.0,3.0
gas,35.0,5.0
gas,35.0,1.0
gas,35.0,5.0
gas,35.0,1.0
platinum,65.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,0.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,2.0
acq,1.0,2.0
acq,1.0,2.0
acq,1.0,2.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,0.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,0.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,3.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,5.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,3.0
acq,1.0,5.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,5.0
acq,1.0,2.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,21.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,0.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,3.0
acq,1.0,3.0
acq,1.0,5.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,2.0
acq,1.0,2.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,3.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,0.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,2.0
oilseed,13.0,1.0
oilseed,13.0,2.0
oilseed,13.0,1.0
oilseed,13.0,6.0
oilseed,13.0,2.0
oilseed,13.0,1.0
oilseed,13.0,1.0
oilseed,13.0,4.0
oilseed,13.0,4.0
oilseed,13.0,72.0
hog,53.0,3.0
gnp,16.0,1.0
gnp,16.0,12.0
gnp,16.0,27.0
gnp,16.0,16.0
gnp,16.0,1.0
gnp,16.0,1.0
gnp,16.0,7.0
gnp,16.0,1.0
gnp,16.0,16.0
gnp,16.0,20.0
gnp,16.0,16.0
gnp,16.0,1.0
gnp,16.0,16.0
reserves,25.0,25.0
reserves,25.0,1.0
reserves,25.0,16.0
reserves,25.0,1.0
zinc,41.0,1.0
zinc,41.0,17.0
zinc,41.0,2.0
livestock,22.0,2.0
livestock,22.0,1.0
livestock,22.0,7.0
livestock,22.0,5.0
livestock,22.0,1.0
livestock,22.0,1.0
livestock,22.0,28.0
livestock,22.0,1.0
bop,20.0,2.0
bop,20.0,1.0
bop,20.0,20.0
bop,20.0,6.0
bop,20.0,2.0
bop,20.0,16.0
bop,20.0,2.0
bop,20.0,2.0
bop,20.0,1.0
ipi,31.0,1.0
ipi,31.0,1.0
lumber,59.0,4.0
unknown,2.0,2.0
unknown,2.0,1.0
unknown,2.0,2.0
unknown,2.0,1.0
unknown,2.0,2.0
unknown,2.0,1.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,1.0
unknown,2.0,1.0
unknown,2.0,2.0
unknown,2.0,1.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,5.0
unknown,2.0,1.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,3.0
unknown,2.0,5.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,1.0
unknown,2.0,7.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,1.0
unknown,2.0,1.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,1.0
unknown,2.0,1.0
unknown,2.0,2.0
unknown,2.0,3.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,1.0
unknown,2.0,2.0
unknown,2.0,7.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,1.0
unknown,2.0,1.0
unknown,2.0,2.0
unknown,2.0,1.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,3.0
unknown,2.0,2.0
unknown,2.0,1.0
unknown,2.0,1.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,1.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,1.0
unknown,2.0,1.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,1.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,1.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,1.0
unknown,2.0,2.0
unknown,2.0,1.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,1.0
unknown,2.0,1.0
unknown,2.0,2.0
unknown,2.0,1.0
unknown,2.0,1.0
unknown,2.0,16.0
unknown,2.0,1.0
unknown,2.0,2.0
unknown,2.0,1.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,1.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,1.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,1.0
unknown,2.0,1.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,1.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,1.0
unknown,2.0,7.0
unknown,2.0,2.0
unknown,2.0,1.0
unknown,2.0,2.0
unknown,2.0,1.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,1.0
unknown,2.0,1.0
unknown,2.0,2.0
unknown,2.0,3.0
unknown,2.0,1.0
unknown,2.0,1.0
unknown,2.0,1.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,1.0
unknown,2.0,1.0
unknown,2.0,1.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,1.0
unknown,2.0,1.0
unknown,2.0,2.0
unknown,2.0,7.0
unknown,2.0,2.0
unknown,2.0,1.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,1.0
unknown,2.0,20.0
unknown,2.0,1.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,3.0
unknown,2.0,1.0
unknown,2.0,0.0
unknown,2.0,1.0
unknown,2.0,5.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,1.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,1.0
unknown,2.0,1.0
unknown,2.0,2.0
unknown,2.0,1.0
unknown,2.0,2.0
unknown,2.0,1.0
unknown,2.0,2.0
rapeseed,47.0,13.0
rapeseed,47.0,1.0
rapeseed,47.0,1.0
fuel,54.0,5.0
fuel,54.0,2.0
corn,10.0,4.0
corn,10.0,1.0
corn,10.0,4.0
corn,10.0,1.0
corn,10.0,1.0
corn,10.0,1.0
corn,10.0,1.0
corn,10.0,1.0
corn,10.0,4.0
corn,10.0,1.0
corn,10.0,1.0
corn,10.0,2.0
corn,10.0,1.0
corn,10.0,1.0
corn,10.0,2.0
corn,10.0,2.0
corn,10.0,4.0
corn,10.0,1.0
corn,10.0,1.0
lead,48.0,1.0
wheat,8.0,1.0
wheat,8.0,4.0
wheat,8.0,4.0
wheat,8.0,1.0
wheat,8.0,4.0
wheat,8.0,1.0
wheat,8.0,1.0
wheat,8.0,1.0
wheat,8.0,1.0
wheat,8.0,4.0
wheat,8.0,4.0
wheat,8.0,3.0
wheat,8.0,4.0
wheat,8.0,4.0
wheat,8.0,1.0
wheat,8.0,4.0
wheat,8.0,4.0
wheat,8.0,4.0
wheat,8.0,1.0
wheat,8.0,1.0
wheat,8.0,4.0
pet-chem,42.0,1.0
palm-oil,39.0,6.0
palm-oil,39.0,18.0
palm-oil,39.0,18.0
retail,44.0,1.0
retail,44.0,31.0
retail,44.0,1.0
heat,56.0,35.0
money-supply,11.0,11.0
money-supply,11.0,7.0
money-supply,11.0,11.0
money-supply,11.0,2.0
money-supply,11.0,1.0
money-supply,11.0,2.0
income,60.0,11.0
income,60.0,16.0
palladium,81.0,1.0
cocoa,24.0,1.0
cocoa,24.0,2.0
cocoa,24.0,1.0
cocoa,24.0,1.0
cocoa,24.0,1.0
cocoa,24.0,3.0
cocoa,24.0,1.0
cocoa,24.0,1.0
cocoa,24.0,1.0
gold,17.0,1.0
gold,17.0,1.0
gold,17.0,1.0
gold,17.0,5.0
gold,17.0,1.0
gold,17.0,1.0
gold,17.0,2.0
gold,17.0,1.0
gold,17.0,3.0
gold,17.0,0.0
gold,17.0,1.0
gold,17.0,43.0
gold,17.0,1.0
gold,17.0,1.0
crude,5.0,5.0
crude,5.0,5.0
crude,5.0,5.0
crude,5.0,5.0
crude,5.0,5.0
crude,5.0,5.0
crude,5.0,5.0
crude,5.0,5.0
crude,5.0,5.0
crude,5.0,5.0
crude,5.0,5.0
crude,5.0,5.0
crude,5.0,21.0
crude,5.0,5.0
crude,5.0,5.0
crude,5.0,5.0
crude,5.0,1.0
crude,5.0,5.0
crude,5.0,5.0
crude,5.0,5.0
crude,5.0,5.0
crude,5.0,5.0
crude,5.0,5.0
crude,5.0,5.0
crude,5.0,1.0
crude,5.0,5.0
crude,5.0,21.0
crude,5.0,5.0
crude,5.0,5.0
crude,5.0,5.0
crude,5.0,5.0
crude,5.0,5.0
crude,5.0,21.0
crude,5.0,5.0
crude,5.0,5.0
crude,5.0,5.0
crude,5.0,5.0
crude,5.0,5.0
crude,5.0,5.0
tea,63.0,1.0
tea,63.0,1.0
tea,63.0,1.0
barley,36.0,1.0
barley,36.0,1.0
barley,36.0,4.0
barley,36.0,1.0
coffee,15.0,2.0
coffee,15.0,1.0
coffee,15.0,1.0
coffee,15.0,3.0
coffee,15.0,1.0
coffee,15.0,16.0
coffee,15.0,15.0
coffee,15.0,6.0
coffee,15.0,1.0
coffee,15.0,1.0
coffee,15.0,1.0
coffee,15.0,14.0
coffee,15.0,5.0
coffee,15.0,1.0
coffee,15.0,15.0
coffee,15.0,1.0
coffee,15.0,3.0
trade,6.0,1.0
trade,6.0,1.0
trade,6.0,20.0
trade,6.0,6.0
trade,6.0,1.0
trade,6.0,20.0
trade,6.0,1.0
trade,6.0,7.0
trade,6.0,1.0
trade,6.0,1.0
trade,6.0,3.0
trade,6.0,1.0
trade,6.0,1.0
trade,6.0,6.0
trade,6.0,2.0
trade,6.0,6.0
trade,6.0,1.0
trade,6.0,1.0
trade,6.0,1.0
trade,6.0,3.0
trade,6.0,1.0
trade,6.0,1.0
trade,6.0,1.0
trade,6.0,2.0
trade,6.0,3.0
trade,6.0,1.0
trade,6.0,1.0
trade,6.0,3.0
trade,6.0,1.0
trade,6.0,3.0
trade,6.0,77.0
trade,6.0,3.0
lei,57.0,1.0
lei,57.0,1.0
yen,29.0,3.0
veg-oil,18.0,18.0
veg-oil,18.0,5.0
veg-oil,18.0,2.0
veg-oil,18.0,1.0
veg-oil,18.0,18.0
veg-oil,18.0,1.0
veg-oil,18.0,5.0
veg-oil,18.0,4.0
veg-oil,18.0,13.0
veg-oil,18.0,1.0
meal-feed,38.0,3.0
meal-feed,38.0,1.0
meal-feed,38.0,1.0
meal-feed,38.0,1.0
meal-feed,38.0,2.0
orange,49.0,1.0
