class,label,prediction
lin-oil,88.0,4.0
carcass,26.0,2.0
carcass,26.0,7.0
carcass,26.0,2.0
carcass,26.0,2.0
carcass,26.0,4.0
carcass,26.0,4.0
oat,62.0,4.0
oat,62.0,4.0
nat-gas,21.0,2.0
nat-gas,21.0,2.0
nat-gas,21.0,5.0
nat-gas,21.0,5.0
nat-gas,21.0,1.0
nat-gas,21.0,2.0
nat-gas,21.0,5.0
nat-gas,21.0,5.0
nat-gas,21.0,5.0
nat-gas,21.0,2.0
nat-gas,21.0,2.0
nat-gas,21.0,5.0
nat-gas,21.0,5.0
rubber,37.0,3.0
rubber,37.0,2.0
rubber,37.0,2.0
rubber,37.0,2.0
rubber,37.0,2.0
rubber,37.0,2.0
groundnut,66.0,6.0
sun-oil,69.0,5.0
strategic-metal,50.0,2.0
ship,9.0,2.0
ship,9.0,5.0
ship,9.0,2.0
ship,9.0,4.0
ship,9.0,2.0
ship,9.0,1.0
ship,9.0,2.0
ship,9.0,2.0
ship,9.0,5.0
ship,9.0,9.0
ship,9.0,2.0
ship,9.0,2.0
ship,9.0,9.0
ship,9.0,5.0
ship,9.0,5.0
ship,9.0,2.0
ship,9.0,2.0
ship,9.0,2.0
ship,9.0,5.0
ship,9.0,2.0
wpi,46.0,2.0
wpi,46.0,7.0
wpi,46.0,5.0
wpi,46.0,5.0
soy-meal,51.0,13.0
soy-meal,51.0,4.0
soy-meal,51.0,13.0
dmk,61.0,2.0
gas,35.0,5.0
gas,35.0,5.0
gas,35.0,5.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,0.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,2.0
