class,label,prediction
carcass,26.0,0.0
carcass,26.0,0.0
carcass,26.0,2.0
carcass,26.0,2.0
rape-oil,68.0,0.0
rape-oil,68.0,0.0
nat-gas,21.0,0.0
nat-gas,21.0,0.0
nat-gas,21.0,0.0
nat-gas,21.0,0.0
nat-gas,21.0,5.0
nat-gas,21.0,0.0
nat-gas,21.0,0.0
nat-gas,21.0,2.0
rubber,37.0,0.0
rubber,37.0,0.0
rubber,37.0,0.0
strategic-metal,50.0,0.0
strategic-metal,50.0,0.0
instal-debt,71.0,0.0
instal-debt,71.0,0.0
ship,9.0,0.0
ship,9.0,0.0
ship,9.0,0.0
ship,9.0,0.0
ship,9.0,0.0
ship,9.0,0.0
ship,9.0,0.0
ship,9.0,0.0
ship,9.0,0.0
ship,9.0,0.0
ship,9.0,0.0
ship,9.0,0.0
ship,9.0,0.0
ship,9.0,0.0
ship,9.0,0.0
ship,9.0,0.0
ship,9.0,0.0
ship,9.0,0.0
ship,9.0,0.0
ship,9.0,0.0
ship,9.0,0.0
wpi,46.0,0.0
wpi,46.0,0.0
nkr,85.0,0.0
soy-oil,52.0,18.0
soy-oil,52.0,0.0
soy-oil,52.0,0.0
soy-meal,51.0,0.0
propane,75.0,0.0
propane,75.0,0.0
dmk,61.0,0.0
dmk,61.0,0.0
gas,35.0,0.0
gas,35.0,0.0
gas,35.0,0.0
gas,35.0,0.0
acq,1.0,0.0
acq,1.0,0.0
acq,1.0,0.0
acq,1.0,0.0
acq,1.0,0.0
acq,1.0,0.0
acq,1.0,0.0
acq,1.0,0.0
acq,1.0,0.0
acq,1.0,0.0
acq,1.0,0.0
acq,1.0,0.0
acq,1.0,0.0
acq,1.0,0.0
acq,1.0,0.0
acq,1.0,0.0
acq,1.0,0.0
acq,1.0,0.0
acq,1.0,0.0
acq,1.0,0.0
acq,1.0,0.0
acq,1.0,0.0
acq,1.0,0.0
acq,1.0,0.0
acq,1.0,0.0
acq,1.0,0.0
acq,1.0,0.0
acq,1.0,0.0
acq,1.0,0.0
acq,1.0,0.0
acq,1.0,0.0
acq,1.0,0.0
acq,1.0,0.0
acq,1.0,0.0
acq,1.0,0.0
acq,1.0,0.0
acq,1.0,0.0
acq,1.0,0.0
acq,1.0,0.0
acq,1.0,0.0
acq,1.0,0.0
acq,1.0,0.0
acq,1.0,0.0
acq,1.0,0.0
acq,1.0,0.0
acq,1.0,0.0
acq,1.0,0.0
acq,1.0,0.0
acq,1.0,0.0
acq,1.0,0.0
acq,1.0,0.0
acq,1.0,0.0
acq,1.0,0.0
acq,1.0,0.0
acq,1.0,0.0
acq,1.0,0.0
acq,1.0,0.0
acq,1.0,0.0
acq,1.0,0.0
acq,1.0,0.0
acq,1.0,0.0
acq,1.0,0.0
acq,1.0,0.0
acq,1.0,0.0
acq,1.0,0.0
acq,1.0,0.0
acq,1.0,0.0
acq,1.0,0.0
