class,label,prediction
carcass,26.0,2.0
carcass,26.0,4.0
carcass,26.0,3.0
carcass,26.0,2.0
carcass,26.0,1.0
oat,62.0,4.0
nat-gas,21.0,0.0
nat-gas,21.0,5.0
nat-gas,21.0,5.0
nat-gas,21.0,5.0
nat-gas,21.0,5.0
nat-gas,21.0,21.0
nat-gas,21.0,5.0
nat-gas,21.0,5.0
nat-gas,21.0,2.0
nat-gas,21.0,5.0
nat-gas,21.0,5.0
rubber,37.0,2.0
rubber,37.0,2.0
rubber,37.0,2.0
rubber,37.0,3.0
rubber,37.0,2.0
groundnut,66.0,4.0
strategic-metal,50.0,1.0
strategic-metal,50.0,2.0
ship,9.0,5.0
ship,9.0,5.0
ship,9.0,1.0
ship,9.0,2.0
ship,9.0,5.0
ship,9.0,2.0
ship,9.0,1.0
ship,9.0,2.0
ship,9.0,5.0
ship,9.0,5.0
ship,9.0,2.0
ship,9.0,5.0
ship,9.0,5.0
ship,9.0,5.0
ship,9.0,2.0
ship,9.0,2.0
ship,9.0,5.0
ship,9.0,2.0
ship,9.0,5.0
ship,9.0,5.0
ship,9.0,2.0
ship,9.0,2.0
wpi,46.0,5.0
soy-oil,52.0,13.0
soy-oil,52.0,18.0
soy-meal,51.0,2.0
gas,35.0,3.0
gas,35.0,2.0
gas,35.0,5.0
gas,35.0,1.0
platinum,65.0,2.0
platinum,65.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,5.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,5.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,2.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,2.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,5.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,17.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,17.0
acq,1.0,2.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,2.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,2.0
acq,1.0,2.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,0.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,3.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,2.0
acq,1.0,15.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,2.0
oilseed,13.0,18.0
oilseed,13.0,3.0
oilseed,13.0,2.0
oilseed,13.0,19.0
oilseed,13.0,18.0
oilseed,13.0,19.0
oilseed,13.0,2.0
oilseed,13.0,18.0
oilseed,13.0,2.0
