class,label,prediction
carcass,26.0,1.0
carcass,26.0,2.0
carcass,26.0,1.0
oat,62.0,13.0
nat-gas,21.0,2.0
nat-gas,21.0,5.0
nat-gas,21.0,1.0
nat-gas,21.0,5.0
rubber,37.0,1.0
rubber,37.0,37.0
rubber,37.0,2.0
rubber,37.0,8.0
strategic-metal,50.0,1.0
ship,9.0,1.0
ship,9.0,5.0
ship,9.0,1.0
ship,9.0,1.0
ship,9.0,3.0
ship,9.0,5.0
ship,9.0,1.0
ship,9.0,1.0
ship,9.0,1.0
ship,9.0,5.0
ship,9.0,1.0
ship,9.0,1.0
ship,9.0,1.0
ship,9.0,5.0
ship,9.0,1.0
ship,9.0,1.0
ship,9.0,1.0
ship,9.0,2.0
ship,9.0,9.0
ship,9.0,1.0
ship,9.0,0.0
ship,9.0,2.0
ship,9.0,3.0
ship,9.0,14.0
ship,9.0,1.0
l-cattle,67.0,67.0
soy-oil,52.0,13.0
soy-meal,51.0,1.0
dmk,61.0,3.0
dmk,61.0,3.0
gas,35.0,5.0
gas,35.0,5.0
gas,35.0,5.0
gas,35.0,1.0
gas,35.0,1.0
gas,35.0,1.0
platinum,65.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,5.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,5.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,0.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,0.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,14.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,21.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,0.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,0.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
oilseed,13.0,2.0
oilseed,13.0,1.0
oilseed,13.0,1.0
oilseed,13.0,1.0
oilseed,13.0,2.0
oilseed,13.0,1.0
oilseed,13.0,1.0
oilseed,13.0,1.0
oilseed,13.0,1.0
oilseed,13.0,1.0
oilseed,13.0,18.0
oilseed,13.0,1.0
oilseed,13.0,2.0
oilseed,13.0,4.0
oilseed,13.0,1.0
oilseed,13.0,1.0
oilseed,13.0,1.0
oilseed,13.0,19.0
oilseed,13.0,17.0
oilseed,13.0,5.0
gnp,16.0,1.0
gnp,16.0,1.0
gnp,16.0,17.0
gnp,16.0,3.0
gnp,16.0,2.0
gnp,16.0,44.0
gnp,16.0,16.0
gnp,16.0,1.0
reserves,25.0,1.0
reserves,25.0,1.0
reserves,25.0,1.0
reserves,25.0,1.0
reserves,25.0,2.0
zinc,41.0,1.0
livestock,22.0,1.0
livestock,22.0,1.0
livestock,22.0,4.0
livestock,22.0,0.0
livestock,22.0,4.0
bop,20.0,1.0
bop,20.0,6.0
bop,20.0,3.0
bop,20.0,1.0
bop,20.0,1.0
bop,20.0,1.0
ipi,31.0,1.0
ipi,31.0,1.0
ipi,31.0,2.0
ipi,31.0,44.0
ipi,31.0,1.0
ipi,31.0,7.0
ipi,31.0,1.0
ipi,31.0,1.0
lumber,59.0,2.0
unknown,2.0,1.0
unknown,2.0,2.0
unknown,2.0,1.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,1.0
unknown,2.0,2.0
unknown,2.0,1.0
unknown,2.0,0.0
unknown,2.0,1.0
unknown,2.0,1.0
unknown,2.0,2.0
unknown,2.0,1.0
unknown,2.0,2.0
unknown,2.0,1.0
unknown,2.0,2.0
unknown,2.0,5.0
unknown,2.0,1.0
unknown,2.0,1.0
unknown,2.0,1.0
unknown,2.0,1.0
unknown,2.0,2.0
unknown,2.0,1.0
unknown,2.0,2.0
unknown,2.0,1.0
unknown,2.0,2.0
unknown,2.0,1.0
unknown,2.0,2.0
unknown,2.0,5.0
unknown,2.0,1.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,1.0
unknown,2.0,1.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,1.0
unknown,2.0,1.0
unknown,2.0,2.0
unknown,2.0,1.0
unknown,2.0,1.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,1.0
unknown,2.0,2.0
unknown,2.0,1.0
unknown,2.0,7.0
unknown,2.0,7.0
unknown,2.0,1.0
unknown,2.0,1.0
unknown,2.0,1.0
unknown,2.0,2.0
unknown,2.0,1.0
unknown,2.0,2.0
unknown,2.0,1.0
unknown,2.0,1.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,1.0
unknown,2.0,2.0
unknown,2.0,1.0
unknown,2.0,1.0
unknown,2.0,1.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,1.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,1.0
unknown,2.0,2.0
unknown,2.0,1.0
unknown,2.0,1.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,7.0
unknown,2.0,3.0
unknown,2.0,2.0
unknown,2.0,1.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,1.0
unknown,2.0,1.0
unknown,2.0,1.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,1.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,1.0
unknown,2.0,2.0
unknown,2.0,1.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,1.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,1.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,1.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,3.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,1.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,1.0
unknown,2.0,1.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,1.0
unknown,2.0,2.0
unknown,2.0,1.0
unknown,2.0,1.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,1.0
unknown,2.0,7.0
unknown,2.0,7.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,3.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,1.0
unknown,2.0,1.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,1.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,1.0
unknown,2.0,2.0
unknown,2.0,1.0
unknown,2.0,2.0
unknown,2.0,1.0
unknown,2.0,2.0
unknown,2.0,1.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,1.0
unknown,2.0,1.0
unknown,2.0,1.0
unknown,2.0,2.0
unknown,2.0,1.0
unknown,2.0,2.0
unknown,2.0,1.0
unknown,2.0,1.0
unknown,2.0,2.0
unknown,2.0,1.0
unknown,2.0,1.0
unknown,2.0,1.0
unknown,2.0,2.0
fuel,54.0,5.0
fuel,54.0,1.0
corn,10.0,1.0
corn,10.0,2.0
corn,10.0,1.0
corn,10.0,14.0
corn,10.0,2.0
corn,10.0,4.0
corn,10.0,1.0
corn,10.0,1.0
corn,10.0,1.0
corn,10.0,1.0
corn,10.0,1.0
corn,10.0,1.0
corn,10.0,4.0
corn,10.0,1.0
corn,10.0,1.0
corn,10.0,4.0
corn,10.0,17.0
coconut-oil,70.0,2.0
wheat,8.0,4.0
wheat,8.0,4.0
wheat,8.0,1.0
wheat,8.0,4.0
wheat,8.0,4.0
wheat,8.0,1.0
wheat,8.0,3.0
wheat,8.0,4.0
wheat,8.0,2.0
wheat,8.0,2.0
wheat,8.0,1.0
wheat,8.0,1.0
wheat,8.0,1.0
wheat,8.0,4.0
wheat,8.0,1.0
wheat,8.0,2.0
wheat,8.0,1.0
wheat,8.0,1.0
wheat,8.0,13.0
wheat,8.0,1.0
wheat,8.0,1.0
wheat,8.0,1.0
wheat,8.0,1.0
wheat,8.0,4.0
wheat,8.0,1.0
wheat,8.0,1.0
wheat,8.0,13.0
wheat,8.0,1.0
pet-chem,42.0,2.0
palm-oil,39.0,8.0
palm-oil,39.0,18.0
palm-oil,39.0,5.0
palm-oil,39.0,5.0
palm-oil,39.0,13.0
retail,44.0,1.0
retail,44.0,2.0
heat,56.0,5.0
heat,56.0,5.0
money-supply,11.0,1.0
money-supply,11.0,2.0
money-supply,11.0,1.0
money-supply,11.0,1.0
money-supply,11.0,2.0
money-supply,11.0,7.0
money-supply,11.0,7.0
money-supply,11.0,1.0
money-supply,11.0,1.0
money-supply,11.0,1.0
money-supply,11.0,1.0
money-supply,11.0,16.0
money-supply,11.0,1.0
money-supply,11.0,2.0
money-supply,11.0,1.0
money-supply,11.0,1.0
money-supply,11.0,1.0
money-supply,11.0,1.0
money-supply,11.0,1.0
money-supply,11.0,1.0
money-supply,11.0,11.0
money-supply,11.0,1.0
money-supply,11.0,1.0
income,60.0,1.0
income,60.0,1.0
cocoa,24.0,1.0
cocoa,24.0,1.0
cocoa,24.0,1.0
cocoa,24.0,24.0
cocoa,24.0,24.0
cocoa,24.0,24.0
gold,17.0,7.0
gold,17.0,1.0
gold,17.0,1.0
gold,17.0,1.0
gold,17.0,17.0
gold,17.0,17.0
gold,17.0,3.0
gold,17.0,1.0
crude,5.0,5.0
crude,5.0,5.0
crude,5.0,5.0
crude,5.0,5.0
crude,5.0,5.0
crude,5.0,5.0
crude,5.0,5.0
crude,5.0,5.0
crude,5.0,9.0
crude,5.0,1.0
crude,5.0,5.0
crude,5.0,5.0
crude,5.0,5.0
crude,5.0,5.0
crude,5.0,9.0
crude,5.0,5.0
crude,5.0,4.0
crude,5.0,5.0
crude,5.0,21.0
crude,5.0,21.0
crude,5.0,5.0
crude,5.0,1.0
crude,5.0,5.0
crude,5.0,5.0
crude,5.0,5.0
crude,5.0,5.0
crude,5.0,5.0
crude,5.0,1.0
crude,5.0,5.0
crude,5.0,5.0
crude,5.0,2.0
crude,5.0,5.0
crude,5.0,5.0
crude,5.0,5.0
crude,5.0,5.0
crude,5.0,5.0
crude,5.0,5.0
crude,5.0,5.0
crude,5.0,2.0
barley,36.0,4.0
barley,36.0,1.0
barley,36.0,2.0
barley,36.0,2.0
barley,36.0,1.0
coffee,15.0,15.0
coffee,15.0,1.0
coffee,15.0,15.0
coffee,15.0,14.0
trade,6.0,1.0
trade,6.0,2.0
trade,6.0,1.0
trade,6.0,1.0
trade,6.0,1.0
trade,6.0,2.0
trade,6.0,1.0
trade,6.0,2.0
trade,6.0,2.0
trade,6.0,16.0
trade,6.0,1.0
trade,6.0,1.0
trade,6.0,1.0
trade,6.0,1.0
trade,6.0,1.0
trade,6.0,3.0
trade,6.0,2.0
trade,6.0,1.0
trade,6.0,1.0
trade,6.0,2.0
trade,6.0,1.0
trade,6.0,1.0
trade,6.0,1.0
trade,6.0,2.0
trade,6.0,2.0
trade,6.0,20.0
trade,6.0,2.0
trade,6.0,3.0
trade,6.0,1.0
trade,6.0,5.0
trade,6.0,2.0
trade,6.0,6.0
trade,6.0,6.0
trade,6.0,2.0
trade,6.0,2.0
trade,6.0,1.0
trade,6.0,20.0
trade,6.0,2.0
trade,6.0,2.0
trade,6.0,2.0
trade,6.0,3.0
trade,6.0,1.0
trade,6.0,1.0
housing,55.0,1.0
housing,55.0,7.0
housing,55.0,16.0
yen,29.0,3.0
yen,29.0,1.0
yen,29.0,3.0
yen,29.0,1.0
yen,29.0,2.0
yen,29.0,7.0
yen,29.0,12.0
veg-oil,18.0,39.0
veg-oil,18.0,13.0
veg-oil,18.0,1.0
veg-oil,18.0,5.0
veg-oil,18.0,2.0
veg-oil,18.0,13.0
veg-oil,18.0,5.0
veg-oil,18.0,4.0
veg-oil,18.0,1.0
veg-oil,18.0,2.0
orange,49.0,1.0
orange,49.0,2.0
cpi,23.0,3.0
cpi,23.0,23.0
cpi,23.0,1.0
cpi,23.0,1.0
cpi,23.0,1.0
cpi,23.0,1.0
cpi,23.0,1.0
alum,34.0,1.0
alum,34.0,1.0
