class,label,prediction
carcass,26.0,22.0
carcass,26.0,26.0
carcass,26.0,26.0
carcass,26.0,38.0
carcass,26.0,22.0
rape-oil,68.0,18.0
nat-gas,21.0,5.0
nat-gas,21.0,5.0
nat-gas,21.0,5.0
nat-gas,21.0,21.0
rubber,37.0,1.0
rubber,37.0,4.0
groundnut,66.0,13.0
sun-oil,69.0,18.0
sun-oil,69.0,18.0
instal-debt,71.0,71.0
instal-debt,71.0,71.0
ship,9.0,9.0
ship,9.0,35.0
ship,9.0,9.0
ship,9.0,14.0
ship,9.0,1.0
ship,9.0,4.0
ship,9.0,9.0
ship,9.0,9.0
ship,9.0,9.0
ship,9.0,9.0
ship,9.0,9.0
ship,9.0,4.0
ship,9.0,9.0
ship,9.0,9.0
ship,9.0,5.0
ship,9.0,9.0
wpi,46.0,46.0
wpi,46.0,46.0
soy-oil,52.0,18.0
soy-oil,52.0,2.0
soy-meal,51.0,19.0
dmk,61.0,85.0
dmk,61.0,12.0
gas,35.0,5.0
gas,35.0,5.0
gas,35.0,1.0
gas,35.0,35.0
platinum,65.0,64.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,0.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,0.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,3.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,0.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,5.0
acq,1.0,0.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,5.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,0.0
acq,1.0,0.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,26.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,0.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,0.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,0.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,6.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,0.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
oilseed,13.0,10.0
oilseed,13.0,18.0
oilseed,13.0,72.0
oilseed,13.0,6.0
oilseed,13.0,4.0
oilseed,13.0,38.0
oilseed,13.0,10.0
oilseed,13.0,10.0
oilseed,13.0,19.0
oilseed,13.0,72.0
hog,53.0,22.0
gnp,16.0,1.0
gnp,16.0,16.0
gnp,16.0,16.0
gnp,16.0,6.0
gnp,16.0,16.0
gnp,16.0,16.0
gnp,16.0,2.0
gnp,16.0,16.0
gnp,16.0,16.0
gnp,16.0,20.0
gnp,16.0,16.0
gnp,16.0,16.0
gnp,16.0,16.0
reserves,25.0,25.0
reserves,25.0,0.0
reserves,25.0,16.0
reserves,25.0,11.0
zinc,41.0,41.0
zinc,41.0,17.0
zinc,41.0,17.0
livestock,22.0,4.0
livestock,22.0,53.0
livestock,22.0,26.0
livestock,22.0,22.0
livestock,22.0,22.0
livestock,22.0,26.0
livestock,22.0,26.0
livestock,22.0,14.0
bop,20.0,0.0
bop,20.0,0.0
bop,20.0,6.0
bop,20.0,20.0
bop,20.0,6.0
bop,20.0,16.0
bop,20.0,20.0
bop,20.0,0.0
bop,20.0,20.0
ipi,31.0,16.0
ipi,31.0,31.0
lumber,59.0,59.0
unknown,2.0,2.0
unknown,2.0,6.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,1.0
unknown,2.0,1.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,1.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,0.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,0.0
unknown,2.0,2.0
unknown,2.0,1.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,1.0
