class,label,prediction
lin-oil,88.0,69.0
carcass,26.0,6.0
carcass,26.0,53.0
carcass,26.0,26.0
carcass,26.0,22.0
carcass,26.0,22.0
carcass,26.0,4.0
oat,62.0,10.0
oat,62.0,89.0
nat-gas,21.0,21.0
nat-gas,21.0,2.0
nat-gas,21.0,5.0
nat-gas,21.0,5.0
nat-gas,21.0,32.0
nat-gas,21.0,1.0
nat-gas,21.0,1.0
nat-gas,21.0,21.0
nat-gas,21.0,5.0
nat-gas,21.0,21.0
nat-gas,21.0,5.0
nat-gas,21.0,21.0
nat-gas,21.0,5.0
rubber,37.0,37.0
rubber,37.0,39.0
rubber,37.0,37.0
rubber,37.0,37.0
rubber,37.0,37.0
rubber,37.0,37.0
groundnut,66.0,14.0
sun-oil,69.0,18.0
strategic-metal,50.0,65.0
ship,9.0,9.0
ship,9.0,9.0
ship,9.0,9.0
ship,9.0,4.0
ship,9.0,9.0
ship,9.0,1.0
ship,9.0,2.0
ship,9.0,9.0
ship,9.0,9.0
ship,9.0,14.0
ship,9.0,9.0
ship,9.0,13.0
ship,9.0,9.0
ship,9.0,9.0
ship,9.0,5.0
ship,9.0,9.0
ship,9.0,9.0
ship,9.0,2.0
ship,9.0,9.0
ship,9.0,1.0
wpi,46.0,23.0
wpi,46.0,31.0
wpi,46.0,46.0
wpi,46.0,46.0
soy-meal,51.0,19.0
soy-meal,51.0,4.0
soy-meal,51.0,38.0
dmk,61.0,2.0
gas,35.0,5.0
gas,35.0,6.0
gas,35.0,56.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,0.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,0.0
acq,1.0,1.0
acq,1.0,0.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,0.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,17.0
acq,1.0,1.0
acq,1.0,0.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,6.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,0.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,0.0
acq,1.0,0.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,0.0
acq,1.0,1.0
