class,label,prediction
carcass,26.0,22.0
carcass,26.0,22.0
carcass,26.0,6.0
carcass,26.0,67.0
carcass,26.0,53.0
carcass,26.0,22.0
oat,62.0,4.0
oat,62.0,4.0
nat-gas,21.0,2.0
nat-gas,21.0,5.0
nat-gas,21.0,5.0
nat-gas,21.0,5.0
nat-gas,21.0,1.0
nat-gas,21.0,0.0
nat-gas,21.0,5.0
nat-gas,21.0,1.0
nat-gas,21.0,5.0
rubber,37.0,37.0
rubber,37.0,63.0
rubber,37.0,1.0
rubber,37.0,37.0
sun-oil,69.0,88.0
strategic-metal,50.0,50.0
strategic-metal,50.0,64.0
ship,9.0,54.0
ship,9.0,9.0
ship,9.0,4.0
ship,9.0,9.0
ship,9.0,6.0
ship,9.0,9.0
ship,9.0,5.0
ship,9.0,9.0
ship,9.0,9.0
ship,9.0,9.0
ship,9.0,9.0
ship,9.0,9.0
ship,9.0,5.0
ship,9.0,0.0
ship,9.0,9.0
ship,9.0,3.0
ship,9.0,10.0
wpi,46.0,46.0
wpi,46.0,0.0
wpi,46.0,46.0
l-cattle,67.0,22.0
soy-oil,52.0,4.0
soy-oil,52.0,4.0
soy-oil,52.0,18.0
dmk,61.0,12.0
gas,35.0,35.0
gas,35.0,1.0
gas,35.0,5.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,0.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,0.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,0.0
acq,1.0,1.0
acq,1.0,5.0
acq,1.0,1.0
acq,1.0,0.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,0.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,0.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,0.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,0.0
acq,1.0,43.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
oilseed,13.0,38.0
oilseed,13.0,4.0
oilseed,13.0,19.0
oilseed,13.0,4.0
oilseed,13.0,10.0
oilseed,13.0,19.0
oilseed,13.0,18.0
oilseed,13.0,58.0
oilseed,13.0,8.0
oilseed,13.0,13.0
oilseed,13.0,26.0
oilseed,13.0,4.0
oilseed,13.0,4.0
oilseed,13.0,8.0
oilseed,13.0,4.0
hog,53.0,53.0
hog,53.0,22.0
hog,53.0,22.0
rye,89.0,62.0
gnp,16.0,16.0
gnp,16.0,16.0
gnp,16.0,0.0
gnp,16.0,16.0
gnp,16.0,16.0
gnp,16.0,16.0
gnp,16.0,16.0
gnp,16.0,16.0
gnp,16.0,0.0
reserves,25.0,0.0
reserves,25.0,0.0
reserves,25.0,11.0
reserves,25.0,3.0
reserves,25.0,3.0
reserves,25.0,11.0
reserves,25.0,25.0
reserves,25.0,2.0
reserves,25.0,25.0
zinc,41.0,17.0
zinc,41.0,28.0
livestock,22.0,53.0
livestock,22.0,4.0
livestock,22.0,26.0
livestock,22.0,22.0
livestock,22.0,22.0
livestock,22.0,53.0
livestock,22.0,4.0
livestock,22.0,53.0
bop,20.0,0.0
bop,20.0,6.0
bop,20.0,6.0
bop,20.0,20.0
bop,20.0,39.0
bop,20.0,20.0
ipi,31.0,0.0
