class,label,prediction
carcass,26.0,22.0
carcass,26.0,26.0
carcass,26.0,26.0
carcass,26.0,0.0
rape-oil,68.0,18.0
rape-oil,68.0,39.0
nat-gas,21.0,5.0
nat-gas,21.0,1.0
nat-gas,21.0,5.0
nat-gas,21.0,1.0
nat-gas,21.0,5.0
nat-gas,21.0,23.0
nat-gas,21.0,5.0
nat-gas,21.0,5.0
rubber,37.0,37.0
rubber,37.0,3.0
rubber,37.0,0.0
strategic-metal,50.0,0.0
strategic-metal,50.0,1.0
instal-debt,71.0,0.0
instal-debt,71.0,71.0
ship,9.0,32.0
ship,9.0,2.0
ship,9.0,9.0
ship,9.0,1.0
ship,9.0,1.0
ship,9.0,4.0
ship,9.0,9.0
ship,9.0,9.0
ship,9.0,9.0
ship,9.0,4.0
ship,9.0,9.0
ship,9.0,9.0
ship,9.0,9.0
ship,9.0,36.0
ship,9.0,9.0
ship,9.0,9.0
ship,9.0,4.0
ship,9.0,8.0
ship,9.0,9.0
ship,9.0,9.0
ship,9.0,7.0
wpi,46.0,0.0
wpi,46.0,23.0
nkr,85.0,61.0
soy-oil,52.0,18.0
soy-oil,52.0,38.0
soy-oil,52.0,38.0
soy-meal,51.0,38.0
propane,75.0,56.0
propane,75.0,23.0
dmk,61.0,12.0
dmk,61.0,29.0
gas,35.0,56.0
gas,35.0,35.0
gas,35.0,5.0
gas,35.0,54.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,17.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,0.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,0.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,0.0
acq,1.0,1.0
acq,1.0,0.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,0.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,0.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,0.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,0.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,0.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,0.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,0.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
oilseed,13.0,13.0
oilseed,13.0,10.0
oilseed,13.0,6.0
oilseed,13.0,19.0
oilseed,13.0,4.0
oilseed,13.0,18.0
oilseed,13.0,4.0
oilseed,13.0,40.0
oilseed,13.0,4.0
oilseed,13.0,4.0
oilseed,13.0,18.0
oilseed,13.0,89.0
oilseed,13.0,36.0
oilseed,13.0,58.0
oilseed,13.0,4.0
oilseed,13.0,6.0
oilseed,13.0,13.0
hog,53.0,53.0
hog,53.0,53.0
hog,53.0,22.0
gnp,16.0,16.0
gnp,16.0,16.0
gnp,16.0,2.0
gnp,16.0,16.0
gnp,16.0,6.0
gnp,16.0,16.0
gnp,16.0,7.0
gnp,16.0,3.0
gnp,16.0,16.0
gnp,16.0,6.0
reserves,25.0,25.0
reserves,25.0,3.0
reserves,25.0,25.0
reserves,25.0,6.0
zinc,41.0,5.0
zinc,41.0,64.0
zinc,41.0,41.0
zinc,41.0,2.0
zinc,41.0,28.0
livestock,22.0,26.0
livestock,22.0,26.0
livestock,22.0,26.0
livestock,22.0,26.0
livestock,22.0,26.0
livestock,22.0,22.0
livestock,22.0,26.0
livestock,22.0,53.0
bop,20.0,20.0
bop,20.0,16.0
bop,20.0,20.0
bop,20.0,20.0
bop,20.0,20.0
bop,20.0,0.0
ipi,31.0,0.0
ipi,31.0,31.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,1.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,1.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,0.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,18.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,1.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,1.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,1.0
unknown,2.0,1.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,1.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,0.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,1.0
unknown,2.0,2.0
