class,label,prediction
carcass,26.0,22.0
carcass,26.0,22.0
carcass,26.0,22.0
carcass,26.0,22.0
carcass,26.0,26.0
nat-gas,21.0,54.0
nat-gas,21.0,5.0
nat-gas,21.0,1.0
nat-gas,21.0,5.0
nat-gas,21.0,21.0
nat-gas,21.0,2.0
nat-gas,21.0,5.0
rubber,37.0,37.0
groundnut,66.0,58.0
strategic-metal,50.0,2.0
strategic-metal,50.0,17.0
strategic-metal,50.0,50.0
strategic-metal,50.0,50.0
instal-debt,71.0,0.0
ship,9.0,1.0
ship,9.0,9.0
ship,9.0,9.0
ship,9.0,9.0
ship,9.0,9.0
ship,9.0,9.0
ship,9.0,1.0
ship,9.0,4.0
ship,9.0,9.0
ship,9.0,0.0
ship,9.0,9.0
ship,9.0,4.0
ship,9.0,15.0
ship,9.0,4.0
ship,9.0,5.0
ship,9.0,4.0
ship,9.0,9.0
ship,9.0,9.0
ship,9.0,8.0
ship,9.0,9.0
rand,83.0,3.0
wpi,46.0,46.0
wpi,46.0,46.0
soy-oil,52.0,10.0
soy-meal,51.0,39.0
soy-meal,51.0,38.0
soy-meal,51.0,38.0
gas,35.0,5.0
gas,35.0,35.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,0.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,5.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,6.0
acq,1.0,1.0
acq,1.0,50.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,0.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,0.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,0.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,50.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,0.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,0.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,0.0
acq,1.0,0.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
oilseed,13.0,9.0
oilseed,13.0,47.0
oilseed,13.0,4.0
oilseed,13.0,19.0
oilseed,13.0,19.0
hog,53.0,22.0
hog,53.0,22.0
palmkernel,82.0,39.0
gnp,16.0,16.0
gnp,16.0,7.0
gnp,16.0,16.0
gnp,16.0,0.0
gnp,16.0,16.0
gnp,16.0,16.0
gnp,16.0,16.0
gnp,16.0,16.0
gnp,16.0,7.0
gnp,16.0,16.0
gnp,16.0,2.0
gnp,16.0,16.0
gnp,16.0,16.0
reserves,25.0,7.0
reserves,25.0,3.0
reserves,25.0,6.0
reserves,25.0,25.0
reserves,25.0,25.0
reserves,25.0,16.0
reserves,25.0,6.0
reserves,25.0,2.0
zinc,41.0,17.0
livestock,22.0,26.0
livestock,22.0,22.0
livestock,22.0,67.0
bop,20.0,20.0
bop,20.0,3.0
bop,20.0,0.0
bop,20.0,20.0
bop,20.0,0.0
copra-cake,79.0,14.0
ipi,31.0,31.0
ipi,31.0,0.0
ipi,31.0,31.0
ipi,31.0,0.0
ipi,31.0,31.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,1.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,1.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,1.0
unknown,2.0,2.0
unknown,2.0,2.0
unknown,2.0,0.0
unknown,2.0,2.0
unknown,2.0,2.0
